Date,Close
20/12/18,116.216873
21/12/18,109.496231
22/12/18,116.759499
23/12/18,130.765259
24/12/18,140.238007
25/12/18,129.844345
26/12/18,131.865631
27/12/18,116.575912
28/12/18,137.647018
29/12/18,138.018341
30/12/18,139.859451
31/12/18,133.368256
01/01/19,140.819412
02/01/19,155.047684
03/01/19,149.13501
04/01/19,154.58194
05/01/19,155.638596
06/01/19,157.746201
07/01/19,151.699219
08/01/19,150.359634
09/01/19,150.803116
10/01/19,128.625183
11/01/19,127.548325
12/01/19,125.96653
13/01/19,116.897804
14/01/19,129.068726
15/01/19,122.032715
16/01/19,123.547066
17/01/19,123.74192
18/01/19,121.010262
19/01/19,124.51902
20/01/19,119.474831
21/01/19,117.157852
22/01/19,118.747551
23/01/19,117.452606
24/01/19,117.362885
25/01/19,116.378342
26/01/19,116.488739
27/01/19,113.405289
28/01/19,106.589973
29/01/19,105.598213
30/01/19,108.907539
31/01/19,107.061012
01/02/19,107.609787
02/02/19,110.43026
03/02/19,107.492668
04/02/19,107.821602
05/02/19,107.44352
06/02/19,104.919289
07/02/19,104.535301
08/02/19,119.267746
09/02/19,119.430885
10/02/19,124.806488
11/02/19,121.298393
12/02/19,122.572289
13/02/19,122.553604
14/02/19,121.390205
15/02/19,122.100388
16/02/19,123.260216
17/02/19,133.598877
18/02/19,146.098373
19/02/19,145.346191
20/02/19,149.554337
21/02/19,146.130844
22/02/19,149.092453
23/02/19,158.795425
24/02/19,135.852661
25/02/19,139.822861
26/02/19,138.089676
27/02/19,136.125961
28/02/19,136.746246
01/03/19,136.443619
02/03/19,134.206955
03/03/19,132.24942
04/03/19,127.774124
05/03/19,137.822388
06/03/19,138.789352
07/03/19,138.0345
08/03/19,135.127075
09/03/19,137.965332
10/03/19,136.758682
11/03/19,133.83403
12/03/19,134.442886
13/03/19,133.263077
14/03/19,133.711594
15/03/19,137.691788
16/03/19,142.398178
17/03/19,140.000549
18/03/19,139.374603
19/03/19,140.519196
20/03/19,140.686356
21/03/19,136.636063
22/03/19,137.181442
23/03/19,138.239868
24/03/19,136.986923
25/03/19,135.031021
26/03/19,135.460358
27/03/19,140.988159
28/03/19,139.416473
29/03/19,142.497421
30/03/19,142.092682
31/03/19,141.514099
01/04/19,141.830322
02/04/19,163.961746
03/04/19,161.458801
04/04/19,158.052536
05/04/19,165.514847
06/04/19,165.947205
07/04/19,174.531647
08/04/19,180.25882
09/04/19,176.114578
10/04/19,177.337479
11/04/19,165.497025
12/04/19,164.736328
13/04/19,164.513351
14/04/19,167.838516
15/04/19,161.574173
16/04/19,167.623444
17/04/19,166.95076
18/04/19,173.814026
19/04/19,173.708435
20/04/19,173.751266
21/04/19,170.046524
22/04/19,171.874664
23/04/19,171.4478
24/04/19,165.826096
25/04/19,154.459396
26/04/19,156.347092
27/04/19,158.434937
28/04/19,157.295074
29/04/19,155.201996
30/04/19,162.166031
01/05/19,160.818344
02/05/19,162.122787
03/05/19,167.952408
